Serial No.,DeviceId,StartTime,spd_bn,po_name,po_code,Newpo_code,spd_res_name,spd_vill,vill_tow_name,near_place,po_pri_nu,spd_emu_info,enu_name,enu_code,sup_name,sup_code,gp_inf_cons,disp_info_cons,now_name,gp_start,gp_part1,q1,q2,q3,q4,q5,q6,gp_part1_ter1,gp_part2,q9,q9_1,q10,q11,q12,q12_1,q12_oth,q13,gp_part3,q14,q15,q16,spd_q17,q17,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q17_7,q17_8,gp_part4,q18,q18_oth,q19,q20,q20_oth,q21,q22,q23,spd_24,q24,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q25,q26,gp_part5,q27,q28,q29,q30,q31,q32,gp_part6,q33,q34,q35,q36,gp_part7,q37,q37_oth,q38,q39,q39_oth,q40,q40_oth,q41,q42,q43,gp_part8,p8,flr1,flr2,flr3,gp_part9,q44,q44_oth,q45,q45_oth,q46,q46_oth,q47,spd_q48,q48_disp,q48_1,q48_2,q48_3,q48_4,q48_5,q48_6,q48_7,q48_8,q48_9,q48_10,q48_11,q48_12,q48_13,q48_14,q48_15,q48_16,q48_17,q48_18,q48_19,q48_20,q48_21,q48_22,q48_23,q48_24,gp_part9a,part9a_q51,part9a_q52,part9a_q53,gp_part9b,part9b_q51,part9b_q52,part9b_q53,resut,KEY,PARENT_KEY,KEY-data
775,8.69E+14,2019-04-27T10:16:07.370+05:30,,Mahavir Madhya vidyalaya sawrajpuri road bayan bhag,123,123,,,Dulhinganj,Pani thanks,5,,Rajesh Kumar 1,11,Robins Kumar ,1,,,1,,,1,1,1,1,1,1,,,22,22,1,1,19,19,,9,,4,1,2,,,3,3,3,3,3,1,3,3,,2,,2,9,,2,2,1,,,1,2,2,2,2,2,2,2,,2,1,5,2,2,3,,1,2,1,1,,1,,2,1,,1,,3,2,2,,3,,,,,1,,20,,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,,,,,,,,,1,data[775]/data[1],data[775],data[775]/data
776,8.69E+14,2019-04-27T10:39:32.470+05:30,,Mahavir Madhya vidyalaya sawrajpuri road banyan bhag ,123,123,,,Dulhinganj,Murti faictery,6,,Rajesh Kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,19,19,1,1,59,59,,9,,4,1,2,,,3,3,2,3,2,1,2,2,,4,,2,9,,2,2,1,,,2,2,2,1,2,2,2,2,,2,1,5,2,2,3,,1,2,2,2,,1,,2,1,,1,,3,2,2,,1,,,,,1,,1,,1,,3,,,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,,1,2,2,,,,,1,data[776]/data[1],data[776],data[776]/data
777,8.69E+14,2019-04-27T10:55:38.591+05:30,,Mahavir Madhya vidyalaya sawrajpuri road bayan bhag,123,123,,,Dulhinganj,Mahavir school,7,,Rajesh Kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,2,1,59,59,,9,,4,1,2,,,2,2,3,3,3,1,3,2,,2 3,,2,9,,2,2,1,,,1,2,2,2,2,2,2,2,,2,1,5,2,2,3,,1,2,2,2,,1,,1,4,,1,,4,2,2,,2,,,,,1,,26,,4,,3,,,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,,,,,,2,2,2,1,data[777]/data[1],data[777],data[777]/data
778,8.69E+14,2019-04-27T11:27:13.548+05:30,,Mahavir Madhya vidyalaya sawrajpuri road bayan bhag,123,123,,, Dulhinganj,Aww 160,8,,Rajesh Kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,42,42,2,2,4,4,,9,,4,1,2,,,2,2,3,3,2,1,2,2,,4,,2,20,,99,2,1,,,2,2,2,2,2,2,3,2,,2,1,5,2,2,3,,2,2,1,2,,1,,2,1,,1,,4,1,1,,3,,,,,1,,1,,1,,3,,,1,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,1,1,2,2,,,,,,,,,1,data[778]/data[1],data[778],data[778]/data
779,8.69E+14,2019-04-27T12:26:56.836+05:30,,Mahavir Madhya vidyalaya sawrajpuri road bayan bhag,123,123,,,Fhategang, Hunuman mandir,9,,Rajesh Kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,42,42,1,2,19,19,,9,,4,1,2,,,3,3,3,2,2,1,3,2,,3 4,,2,8 9,,2,3,1,,,2,2,3,2,2,2,2,2,,2,1,5,2,2,3,,1,2,1,2,,1,,2,1,,1,,3,1,1,,1,,,,,1,,26,,4,,3,,,1,2,2,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,,1,1,2,,,,,2,data[779]/data[1],data[779],data[779]/data
780,8.69E+14,2019-04-27T12:55:02.785+05:30,,Mahavir Madhya vidyalaya sawrajpuri bayan bhag,123,123,,,Dulhinganj,Aaradhna telars,10,,Rajesh Kumar 1,11,Rajesh Kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,7,,4,1,2,,,2,2,3,3,2,1,2,2,,4,,2,9,,2,3,1,,,1,2,2,2,2,2,3,2,,2,1,5,2,2,3,,2,2,2,2,,1,,2,1,,1,,3,2,2,,2,,,,,1,,12,,4,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,,,,,,2,99,2,1,data[780]/data[1],data[780],data[780]/data
781,8.69E+14,2019-04-27T13:20:54.800+05:30,,Mahavir Madhya vidyalaya sawrajpuri road bayan bhag,123,123,,,Dulhinganj,Murti faictery,11,,Rajesh Kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,26,26,1,1,59,59,,12,,4,1,2,,,3,3,3,2,2,1,3,2,,1 3,,2,8 9,,2,3,1,,,2,2,2,1,2,2,3,2,,1,1,5,2,3,3,,2,2,1,2,,1,,2,1,,1,,3,2,2,,3,,,,,1,,26,,4,,3,,,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,2,,,,,,,,,1,data[781]/data[1],data[781],data[781]/data
782,8.69E+14,2019-04-27T13:51:54.901+05:30,,Mahavir Madhya vidyalaya  sawrajpuri road bayan bhag,123,123,,,Duihinganj,Mahavir school,12,,Rajesh Kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,22,22,1,1,19,19,,6,,4,1,2,,,2,3,3,3,3,1,2,2,,1,,2,7 9,,2,2,1,,,1,3,2,2,2,2,3,2,,2,1,5,2,3,3,,1,2,2,2,,1,,1,1,,1,,3,2,2,,1,,,,,1,,20,,4,,3,,,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,,1,2,2,,,,,1,data[782]/data[1],data[782],data[782]/data
783,9.12E+14,2019-04-27T09:00:22.065+05:30,,Jiradey dharmsala swarpuri road,120,120,,,Makhloot gung,Shivmandir,1,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,20,20,1,1,59,59,,8,,6,1,2,,,3,3,3,3,3,1,1,2,,1,,1,20,,98,3,3,,,1,99,2,1,99,2,98,3,,2,1,5,2,2,98,,2,1,1,2,,1,,1,4,,1,,3,2,2,,3,,,,,1,,12,,4,,2,,,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,1,data[783]/data[1],data[783],data[783]/data
784,9.12E+14,2019-04-27T09:23:16.172+05:30,,Jirdhi dharam salla,120,120,,,Dulhin bajar nala par,Dulhin bajar,2,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,21,21,1,1,42,42,,5,,4,2,2,,,3,3,3,3,3,1,3,1,,21,,98,9,,2,4,,,,1,1,2,2,2,2,3,3,,2,1,5,98,2,3,,99,99,99,2,,1,,1,1,,1,,3,1,1,,1,,,,,1,,999,Therara,3,,2,,,1,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,,99,2,1,,,,,1,data[784]/data[1],data[784],data[784]/data
785,9.12E+14,2019-04-27T10:16:54.998+05:30,,Yy,2,120,,,Dulhin gung,Nala par,3,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,22,22,1,1,26,26,,8,,4,2,2,,,3,3,3,3,3,1,3,1,,21,,98,9,,3,3,2,,,2,2,2,1,3,1,3,3,,2,1,5,2,2,1,,2,99,99,99,,1,,2,4,,1,,3,2,2,,2,,,,,1,,999,Maharie,98,,2,,,1,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,,,,,,3,2,2,1,data[785]/data[1],data[785],data[785]/data
786,9.12E+14,2019-04-27T10:32:42.569+05:30,,Jiradehi dharamsala,120,120,,,Dulcinea dharam sala swaraj puri road,Mahavir road k ander,4,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,22,22,1,1,59,59,,13,,6,1,2,,,3,3,3,3,2,1,3,1,,1,,3,3,,2,4,,,,1,1,2,2,2,2,3,4,,2,1,5,2,2,3,,2,2,2,2,,1,,2,1,,1,,4,2,2,,3,,,,,1,,999,Mahari,4,,3,,,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,,,,1,data[786]/data[1],data[786],data[786]/data
787,9.12E+14,2019-04-27T10:58:01.074+05:30,,Jiradhe dharamsalla swaraj puri road,120,120,,,Dulhani gung,Dulhan gung,5,,Rahul kumar,7,Roobin kumar,1,,,1,,,1,1,1,1,1,1,,,25,25,1,1,60,60,,9,,5,1,2,,,3,3,3,3,3,1,3,3,,21,,98,20,,4,3,2,,,1,1,2,2,1,1,3,4,,2,1,5,2,2,3,,2,2,2,2,,98,,,4,,1,,3,1,1,,1,,,,,1,,18,,4,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,99,2,1,,,,,1,data[787]/data[1],data[787],data[787]/data
788,9.12E+14,2019-04-27T11:36:01.821+05:30,,Jiradhe dharam salla,120,120,,,Dhilin bajar,Shiv mandir,6,,Rahul kumar,7,Robin kumar,1,,,1,,,1,1,1,1,1,1,,,38,38,1,2,52,52,,4,,3,2,2,,,2,2,2,2,2,1,2,1,,21,,99,20,,98,3,1,,,2,3,2,3,2,2,4,3,,2,1,5,2,2,3,,2,2,99,2,,98,,,3,,1,,2,1,1,,2,,,,,1,,24,,4,,2,,,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,,,,,,3,2,1,1,data[788]/data[1],data[788],data[788]/data
789,9.12E+14,2019-04-27T11:53:54.222+05:30,,Dhulin bajar,120,120,,,Dhulin bajar,Hunuman mandir,7,,Rahul kumar,7,Roobin kumar,1,,,1,,,1,1,1,1,1,1,,,46,46,1,2,9,9,,12,,4,2,2,,,3,3,3,3,3,1,2,2,,2,,3,20,,98,3,1,,,2,2,1,1,3,1,4,4,,2,98,5,2,2,3,,2,2,2,2,,1,,2,4,,1,,3,1,1,,3,,,,,1,,999,Paws an ji,3,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,,,,1,data[789]/data[1],data[789],data[789]/data
790,9.12E+14,2019-04-27T12:42:22.765+05:30,,Jiradhe dharamsalla,120,120,,,Dhulin bajar,Shiv mandir,8,,Rahul kumar,7,Robin kumar,1,,,1,,,1,1,1,1,1,1,,,55,55,1,2,999,999,Ward concler,9,,98,2,2,,,2,2,2,2,2,1,2,1,,1,,2,9,,3,3,1,,,2,2,2,2,1,1,2,1,,2,1,5,2,2,3,,2,2,2,2,,1,,1,1,,1,,3,1,1,,1,,,,,1,,9,,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,,99,2,2,,,,,1,data[790]/data[1],data[790],data[790]/data
791,9.12E+14,2019-04-27T13:37:43.269+05:30,,Jirdey dharmsalla swaraj puri road,120,120,,,Dulhingung nala par,Dhulin gung,9,,Rahul kumar,7,Robin kumar,1,,,1,,,1,1,1,2,1,1,,,22,22,1,2,18,18,,12,,4,1,2,,,3,3,3,3,3,1,3,3,,3,,2,5 7,,2,4,,,,1,2,2,2,2,2,4,3,,2,1,5,2,2,3,,2,2,2,2,,1,,2,4,,1,,3,1,1,,2,,,,,1,,18,,4,,3,,,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,2,2,2,1,data[791]/data[1],data[791],data[791]/data
792,9.12E+14,2019-04-27T14:02:08.288+05:30,,Jirdhy dharamsala,120,120,,,Dulhin gung,Batta mor,10,,Rahul kumar,7,Roobin kumar,1,,,1,,,1,1,1,1,1,1,,,21,21,1,1,59,59,,9,,5,1,2,,,3,3,3,3,3,1,2,2,,1 4,,3,5,,2,3,1,,,1,2,2,1,2,2,2,3,,2,1,5,2,2,3,,2,2,2,2,,4,,2,4,,1,,3,2,2,,3,,,,,1,,9,,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,,,,,,,,,1,data[792]/data[1],data[792],data[792]/data
793,9.12E+14,2019-04-27T14:45:43.256+05:30,,Dhulhan gung,120,120,,,Dulhin gung,Bajrang wali mandier,11,,Rahul kumar,7,Robin kumar,2,,,1,,,1,1,1,1,1,1,,,21,21,1,1,59,59,,8,,5,1,2,,,3,2,2,2,3,1,2,1,,1,,2,20,,98,3,1,,,1,1,1,2,2,2,2,3,,2,1,5,2,2,3,,2,2,2,2,,1,,2,3,,1,,3,1,1,,1,,,,,1,,9,,4,,3,,,1,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,,1,2,2,,,,,1,data[793]/data[1],data[793],data[793]/data
794,9.12E+14,2019-04-27T16:04:13.667+05:30,,Jirday dharamsala,120,120,,,Dhulin gung,Batta mor,12,,Rahul kumar,7,Roobinn kumar,1,,,1,,,1,1,1,1,1,1,,,19,19,1,1,59,59,,9,,6,1,2,,,3,3,3,2,3,1,3,1,,1,,2,8,,2,3,1,,,1,1,1,1,2,1,1,3,,2,1,5,2,2,3,,1,2,2,99,,1,,2,4,,1,,3,2,2,,2,,,,,1,,18,,4,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,,,,,,2,2,2,1,data[794]/data[1],data[794],data[794]/data
795,8.69E+14,2019-04-27T11:03:39.450+07,,Lodging house anganwari Kendra purab taraf,110,110,,,Nawagarhi,Tilkut bhandar,4,,Mukesh kumar,4,Robins kumar,1,,,1,,,1,1,1,1,1,1,,,25,25,2,2,27,27,,12,,4,2,2,,,2,2,2,2,2,1,3,1,,4,,2,8,,2,2,1,,,2,98,2,2,98,2,2,2,,2,1,5,98,98,98,,2,2,2,2,,1,,2,1,,1,,3,2,2,,3,,,,,1,,4,,1,,3,,,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,,,,1,data[795]/data[1],data[795],data[795]/data
796,8.69E+14,2019-04-27T13:00:48.787+07,,Lodging house anganwari Kendra,110,110,,,Nawagarhi,Near school,2,,Mukesh Kumar,4,Robins kumar,1,,,1,,,1,1,1,1,1,1,,,22,22,2,1,59,59,,12,,4,2,2,,,1,2,2,2,1,1,3,1,,4,,98,8,,2,2,1,,,2,2,2,1,2,1,2,3,,2,1,5,2,98,98,,2,2,1,2,,1,,2,1,,1,,4,2,2,,3,,,,,1,,999,Halwai,1,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,1,data[796]/data[1],data[796],data[796]/data
797,8.69E+14,2019-04-28T10:37:47.669+05:30,,Udhog Karyaly new Karimganj,130,130,,,New Karimganj,Masjid ,1,,Ghanshyam Tiwari,3,Robin,1,,,1,,,1,1,1,1,1,1,,,25,25,1,2,59,59,,12,,3,1,2,,,3,3,3,3,3,1,3,1,,1,,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,,2,1,5,2,2,1,,2,99,99,2,,2,,2,2,,2,,2,1,2,,2,,,,,2,,999,Muslim,2,,3,,,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,,,,,,1,2,1,1,data[797]/data[1],data[797],data[797]/data
798,8.69E+14,2019-04-28T10:51:52.184+05:30,,Udhog Karyalay Karimganj,130,130,,,NYU Karimganj,Masjid,2,,Ghanshyam Tiwari,3,Robin Kumar,1,,,1,,,1,1,1,1,1,1,,,45,45,1,2,9,9,,7,,4,1,2,,,3,3,3,3,3,2,3,2,,3,,2,9,,2,1,1,,,2,2,2,1,2,1,2,2,,2,1,5,2,2,3,,2,2,1,2,,2,,2,2,,2,,2,1,2,,3,,,,,2,,9999,,3,,3,,,1,2,2,2,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,,,,,,,,,1,data[798]/data[1],data[798],data[798]/data
799,8.69E+14,2019-04-28T11:20:36.403+05:30,,Udhog Karyalay Karimganj,130,130,,,NYU Karimganj,Masjid,3,,Ghanshyam Tiwari,3,Robin Kumar,1,,,1,,,1,1,1,1,1,1,,,23,23,1,1,59,59,,12,,4,1,1,,,3,3,3,3,3,3,3,2,,4 5,,2,2 9,,2,1,2,,,1,2,2,1,2,1,3,2,,2,1,5,2,2,3,,2,2,1,99,,2,,2,2,,2,,2,1,1,,1,,,,,2,,999,Muslim,3,,3,,,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,,1,2,1,,,,,1,data[799]/data[1],data[799],data[799]/data
800,8.69E+14,2019-04-28T11:35:20.352+05:30,,Udhog Karyalay Karimganj,130,130,,,NYU Karimganj,Masjid,4,,Ghanshyam Tiwari,3,Robin Kumar,1,,,1,,,1,1,1,1,1,1,,,23,23,1,1,59,59,,12,,4,1,1,,,3,3,3,3,3,3,3,2,,3 5,,2,1 9,,2,2,2,,,1,2,2,1,2,1,3,2,,2,1,5,2,2,3,,1,2,1,2,,2,,2,2,,2,,2,2,2,,2,,,,,2,,999,Muslim,3,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,,,,,,1,2,1,1,data[800]/data[1],data[800],data[800]/data
801,8.69E+14,2019-04-28T11:53:20.129+05:30,,Udhog Karyalay Karimganj,130,130,,,NYU Karimganj,Masjid,5,,Ghanshyam Tiwari,3,Robin Kumar,1,,,1,,,1,1,1,1,1,1,,,22,22,1,1,59,59,,12,,4,1,1,,,3,3,3,3,3,3,3,2,,7,,2,8 9,,2,2,2,,,2,2,2,1,2,1,2,3,,2,1,5,2,2,1,,99,99,99,99,,2,,1,2,,2,,1,1,2,,3,,,,,2,,999,Muslim,3,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,,,,1,data[801]/data[1],data[801],data[801]/data
802,8.69E+14,2019-04-28T12:14:11.864+05:30,,Udhog Karyalay Karimganj,130,130,,,NYU Karimganj,Masjid,6,,Ghanshyam Tiwari,3,Robin Kumar,1,,,1,,,1,1,1,1,1,1,,,35,35,1,2,53,53,,8,,4,1,2,,,2,2,3,2,3,1,2,1,,7,,2,9,,2,3,1,,,2,2,2,1,2,2,3,2,,2,1,5,2,2,98,,99,2,1,99,,2,,2,2,,2,,2,1,2,,1,,,,,2,,999,Muslim,3,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,1,2,1,,,,,1,data[802]/data[1],data[802],data[802]/data
803,8.69E+14,2019-04-28T12:41:20.803+05:30,,Udhog Karyalay Karimganj,130,130,,,New Karimganj,Masjid,7,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,40,40,1,2,60,60,,9,,3,1,2,,,3,3,3,3,3,1,3,1,,1,,1,1,,2,1,1,,,1,2,2,2,2,1,1,1,,2,1,5,2,2,1,,2,2,99,99,,2,,2,2,,2,,2,1,2,,2,,,,,2,,999,Muslim,3,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,1,2,1,1,data[803]/data[1],data[803],data[803]/data
804,8.69E+14,2019-04-28T13:04:36.189+05:30,,Udhog Karyalay Karimganj,130,130,,,NYU Karimganj,Masjid,8,,Ghanshyam Tiwari,3,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,20,20,1,1,59,59,,9,,3,1,2,,,3,3,3,3,3,2,3,2,,7,,2,8 9,,2,2,2,,,1,2,2,1,2,1,3,2,,2,1,5,2,2,3,,2,99,99,2,,2,,2,2,,2,,2,2,2,,3,,,,,2,,999,Muslim,3,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,,,,,,,,,1,data[804]/data[1],data[804],data[804]/data
805,8.69E+14,2019-04-28T13:18:25.216+05:30,,Udhog Karyalay Karimganj,130,130,,,New Karimganj,Masjid,9,,Ghanshyam Tiwari,3,Robin,1,,,1,,,1,1,1,1,1,1,,,20,20,1,1,59,59,,12,,2,2,1,,,3,3,2,2,1,1,2,1,,3,,1,3,,2,2,1,,,98,98,2,2,2,3,2,1,,2,1,5,1,2,1,,99,99,99,99,,2,,2,2,,2,,2,2,2,,1,,,,,2,,999,Muslim,3,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,,1,2,1,,,,,1,data[805]/data[1],data[805],data[805]/data
806,8.69E+14,2019-04-28T13:30:14.114+05:30,,Udhog Karyalay Karimganj,130,130,,,NYU Karimganj,Masjid,10,,Ghanshyam Tiwari,3,Robin Kumar,1,,,1,,,1,1,1,1,1,1,,,24,24,1,1,59,59,,13,,4,1,1,,,3,3,3,3,3,3,3,2,,1 5,,2,3 9,,2,2,2,,,1,2,2,1,2,1,3,2,,2,1,5,2,2,3,,1,2,99,2,,2,,2,2,,2,,2,1,2,,2,,,,,2,,9999,,3,,3,,,1,2,2,2,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,2,2,,,,,,1,2,1,1,data[806]/data[1],data[806],data[806]/data
807,8.69E+14,2019-04-28T13:43:49.507+05:30,,Udhog Karyalay Karimganj,130,130,,,New Karimganj,Masjid,11,,Ghanshyam Tiwari,3,Robin,1,,,1,,,1,1,1,1,1,1,,,28,28,1,2,60,60,,8,,3,1,1,,,3,3,3,3,3,1,3,1,,1,,1,1,,2,2,1,,,1,1,1,1,1,1,1,1,,2,1,5,1,2,1,,99,99,99,99,,2,,1,2,,2,,1,1,1,,3,,,,,2,,999,Muslim,3,,2,,,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,,,,,,,,,1,data[807]/data[1],data[807],data[807]/data
808,8.69E+14,2019-04-28T13:55:22.885+05:30,,Udhog Karyalay Karimganj,130,130,,,NYU Karimganj,Masjid,12,,Ghanshyam Tiwari,3,Robin Kumar,1,,,1,,,1,1,1,1,1,1,,,25,25,2,2,63,63,,9,,4,1,2,,,3,3,3,3,3,2,3,1,,7,,2,9,,2,2,1,,,2,2,1,1,2,1,2,2,,2,1,99,2,98,99,,99,99,99,2,,2,,2,2,,2,,2,1,2,,1,,,,,2,,999,Muslim,3,,2,,,1,2,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,1,2,1,,,,,1,data[808]/data[1],data[808],data[808]/data
809,9.12E+14,2019-04-28T11:03:03.190+05:30,,Urdu p.v.murarpur,81,81,,,B.n.jha rode,B.n jha rode,1,,Bikash kumar,13,Raubinsh kumar,1,,,1,,,1,1,1,1,1,1,,,34,34,1,2,19,19,,9,,5,1,2,,,3,3,3,3,3,1,3,3,,2,,2,9,,2,2,2,,,1,2,2,1,2,2,1,2,,2,1,5,2,2,3,,2,2,1,2,,1,,2,1,,1,,3,1,1,,1,,,,,1,,8,,4,,3,,,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,,2,2,2,,,,,1,data[809]/data[1],data[809],data[809]/data
810,9.12E+14,2019-04-28T11:29:20.132+05:30,,Urdu p.v.murarpur,81,81,,,Murarpur,Murarpur,2,,Bikash kumar,13,Raubinsh kumar,1,,,1,,,1,1,1,1,1,1,,,28,28,1,1,59,59,,13,,6,1,1,,,3,3,3,3,3,1,3,3,,2 13,,2,7,,2,1,2,,,1,2,2,1,2,1,1,2,,2,1,5,2,2,98,,2,2,1,2,,2,,2,3,,2,,2,1,1,,3,,,,,7,Muslim,999,Sekh,1,,3,,,1,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,1,2,,,,,,,,,1,data[810]/data[1],data[810],data[810]/data
811,9.12E+14,2019-04-28T11:39:42.680+05:30,,Urdu p.v murarpur,81,81,,,Murarpur,Murarpur,4,,Bikash kumar,13,Raubinsh kumar,1,,,1,,,1,1,1,1,1,1,,,25,25,1,1,59,59,,12,,6,1,2,,,3,3,3,3,3,1,3,1,,2,,2,7,,2,1,1,,,1,2,2,1,2,2,1,2,,2,1,98,2,2,98,,2,2,1,2,,2,,2,2,,2,,2,1,1,,1,,,,,2,,999,Sekh,1,,3,,,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,,2,2,2,,,,,1,data[811]/data[1],data[811],data[811]/data
812,9.12E+14,2019-04-28T11:50:39.773+05:30,,Urdu p.v.murarpur,81,81,,,Murarpur,Murarpur,4,,Bikash kumar,13,Raubinsh kumar,1,,,1,,,1,1,1,1,1,1,,,33,33,1,2,19,19,,9,,5,1,2,,,3,3,3,3,3,1,3,1,,1 4,,2,7 9,,2,2,1,,,2,2,2,1,2,2,2,2,,2,1,5,2,2,3,,2,2,1,2,,2,,2,2,,2,,2,1,1,,2,,,,,7,Muslim,999,Khan,1,,3,,,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,1,1,2,,,,,,2,2,2,1,data[812]/data[1],data[812],data[812]/data
813,9.12E+14,2019-04-28T12:01:34.662+05:30,,Urdu p.v murarpur,81,81,,,Murarpur,Murarpur,5,,Bikash kumar,13,Raubinsh kumar,1,,,1,,,1,1,1,1,1,1,,,20,20,1,1,59,59,,12,,6,1,2,,,3,3,3,3,3,1,3,1,,3,,2,9,,2,2,1,,,2,2,2,1,2,2,1,2,,2,1,98,2,2,98,,2,2,1,2,,1,,1,1,,1,,3,2,2,,2,,,,,1,,8,,4,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,,,,,,99,2,2,1,data[813]/data[1],data[813],data[813]/data
814,9.12E+14,2019-04-28T12:11:34.698+05:30,,Urdu p.v murarpur,81,81,,,Murarpur,Murarpur,6,,Bikash kumar,13,Raubinsh kumar,1,,,1,,,1,1,1,1,1,1,,,38,38,1,2,4,4,,12,,6,1,2,,,3,3,3,3,3,1,3,1,,3,,2,3 9,,2,1,1,,,1,2,2,2,2,2,2,2,,2,1,5,2,2,3,,2,2,1,2,,1,,1,1,,1,,3,1,1,,3,,,,,1,,8,,4,,3,,,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,,,,,,,,,1,data[814]/data[1],data[814],data[814]/data
